scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-6.015366554260254,-6.704699516296387,0.0009219754720106721,636.9022044539452,-15.418085098266602,0.0012161603663116693,638.9434697628021,-8.69699764251709,0.0008088116883300245,0.0,-10.52946662902832,0.00032132412889041007
1,-6.015366554260254,-6.704699516296387,0.0009219764033332467,637.3364254236221,-15.418085098266602,0.0010106657864525914,638.9537453651428,-8.699922561645508,0.0006677155615761876,0.0,-11.262019157409668,0.00027917951229028404
2,-6.015366554260254,-6.704699516296387,0.0009219764033332467,638.1653256416321,-15.418085098266602,0.0008939714753068984,639.219315290451,-8.926322937011719,0.00040755412192083895,638.0794909000397,-11.262019157409668,0.00027917951229028404
3,-6.015366554260254,-6.704699516296387,0.0009219768107868731,638.1653256416321,-14.553266525268555,0.0019895024597644806,639.219315290451,-8.926322937011719,0.0008323915535584092,638.0794909000397,-11.262019157409668,0.00041054535540752113
4,-6.0153656005859375,-6.704699516296387,0.0009219764033332467,638.1653256416321,-13.997568130493164,0.001237550750374794,639.219315290451,-8.926322937011719,0.0006026094197295606,638.2949516773224,-11.216619491577148,0.00028803988243453205
5,640.5550293922424,-2.4517884254455566,0.0015645042294636369,638.1514978408813,-13.997568130493164,0.0035561351105570793,638.0390541553497,-8.926322937011719,0.0011658575385808945,638.2949516773224,-10.311161994934082,0.0007026561070233583
6,640.5550293922424,-2.4517884254455566,0.001220431295223534,637.2277116775513,-13.259452819824219,0.0024146917276084423,637.4392620325089,-8.926322937011719,0.0009625729871913791,638.0794909000397,-10.08831787109375,0.0005010250024497509
7,640.5550293922424,-2.054135799407959,0.0010894996812567115,636.8078140616417,-12.474075317382812,0.001772081945091486,637.4392620325089,-9.438698768615723,0.0006837304681539536,638.967111825943,-9.221872329711914,0.0004151700995862484
8,636.5488905906677,-1.7173848152160645,0.0009219843195751309,634.7003773450851,-11.88078784942627,0.00269999704323709,637.2652316093445,-9.438698768615723,0.00044359377352520823,638.6983587741852,-8.742379188537598,0.0006981811602599919
9,635.7827257663012,-2.054135799407959,0.002342752180993557,634.7003773450851,-11.88078784942627,0.002029174705967307,637.7321418523788,-9.438698768615723,0.0010999800870195031,638.130537033081,-8.742379188537598,0.0011607148917391896
10,497.1734447479248,-2.054135799407959,0.004824517294764519,634.7003773450851,-11.88078784942627,0.002518807537853718,636.136060282588,-7.856122016906738,0.0017732969718053937,638.130537033081,-5.1156415939331055,0.0024784354027360678
11,497.1734447479248,-2.054135799407959,0.0009219812345691025,634.7003773450851,-11.88078784942627,0.0013152668252587318,636.136060282588,-7.856122016906738,0.0005560860154218972,638.130537033081,-5.1156415939331055,0.0003002763551194221
12,-6.015362739562988,-6.704702377319336,0.00162711541634053,637.0475788116455,-14.806928634643555,0.0010612315963953733,509.7146340608597,140.61632561683655,0.0018804229330271482,513.0640125274658,141.61554503440857,0.0009461084264330566
13,-6.015364646911621,-6.704702377319336,0.0009219785570167005,637.0475788116455,-15.872325897216797,0.0008415730553679168,509.7146340608597,140.61632561683655,0.0016474607400596142,512.1488590240479,141.61554503440857,0.000602567452006042
14,-6.015364646911621,-6.704702377319336,0.0009219785570167005,636.484165251255,-14.806928634643555,0.0010442930506542325,506.19032180309296,142.99210596084595,0.0007861831109039485,496.6033320426941,143.78359413146973,0.0002894463250413537
15,-6.015364646911621,-6.704702377319336,0.0009219785570167005,636.484165251255,-15.872325897216797,0.000999190378934145,509.7146340608597,140.61632561683655,0.0004935290198773146,493.8535554409027,141.61554503440857,0.0002791803271975368
16,-6.0153656005859375,-6.704702377319336,0.0011584277963265777,637.0475788116455,-15.872325897216797,0.0011707012308761477,639.0977311134338,-8.680041313171387,0.0033480373676866293,493.8535554409027,-12.036186218261719,0.000726725033018738
17,-6.0153656005859375,-6.704699516296387,0.0009219759376719594,636.8926701545715,-15.242528915405273,0.0008716903394088149,639.1722114086151,-8.680041313171387,0.0006079194718040526,493.8535554409027,-12.036186218261719,0.0002791792503558099
18,-6.015366554260254,-6.704699516296387,0.0009219772764481604,637.2700570821762,-15.242528915405273,0.0012292676838114858,639.4311425685883,-8.740863800048828,0.0006758109666407108,493.8535554409027,-12.036186218261719,0.00030790624441578984
19,-6.015366554260254,-6.704699516296387,0.0015289548318833113,637.7060418128967,-15.554956436157227,0.0022529950365424156,639.682950258255,-8.759480476379395,0.0015487693017348647,-3.4649581909179688,-16.954200744628906,0.0004925573593936861
20,-6.015366554260254,-6.704699516296387,0.0009219772764481604,637.6486757993698,-15.554956436157227,0.0007407403318211436,639.682950258255,-8.796178817749023,0.0005792563315480947,-3.4649581909179688,-16.954200744628906,0.00027917977422475815
21,-6.015366554260254,-6.704699516296387,0.0009219772764481604,637.6486757993698,-15.640933990478516,0.0007379241869784892,639.682950258255,-8.796178817749023,0.0006250258884392679,-3.4649581909179688,-16.954200744628906,0.00027917977422475815
22,-6.015366554260254,-6.704699516296387,0.0009219764033332467,637.6486757993698,-16.535200119018555,0.0006247024284675717,639.2889413833618,-10.081789016723633,0.0004667944449465722,-3.4649581909179688,-16.954200744628906,0.00027917951229028404
23,-6.015366554260254,-6.704700469970703,0.0009219776839017868,637.3691409826279,-17.052499771118164,0.00047182090929709375,639.2889413833618,-10.081789016723633,0.00033893471118062735,-3.4649581909179688,-16.95419692993164,0.0002791800652630627
24,-6.015366554260254,-6.704700469970703,0.0009219781495630741,637.1444343328476,-17.711231231689453,0.00045073239016346633,639.2889413833618,-10.964112281799316,0.00028562656370922923,-3.4649572372436523,-16.95419692993164,0.0002791800652630627
