scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-6.007628440856934,-6.69856071472168,0.0009286476415582001,0.0,0.0,0.00040893739787861705,0.0,0.0,0.00013360549928620458,0.0,0.0,0.00028166864649392664
1,-6.007628440856934,-6.69856071472168,0.0009291007881984115,-3.748565673828125,-19.21895980834961,0.0004091294831596315,-10.509302139282227,-15.292394638061523,0.00013368170766625553,-3.4529471397399902,-16.937053680419922,0.0002818383800331503
2,-6.007628440856934,-6.69856071472168,0.000928990135435015,-3.748565673828125,-19.21895980834961,0.0008811845909804106,-10.509302139282227,-15.292394638061523,0.00044419951154850423,-3.4529471397399902,-16.937053680419922,0.00037370549398474395
3,-6.007401466369629,-6.698359489440918,0.0009292883914895356,-3.748286247253418,-19.21821403503418,0.00040921292384155095,-10.5092134475708,-15.291830062866211,0.00013371383829507977,-3.452526092529297,-16.93658447265625,0.00028191012097522616
4,-6.007102012634277,-6.698138236999512,0.000929519534111023,397.62934148311615,-15.965507507324219,0.00040930460090748966,397.32128620147705,-8.395442008972168,0.0001337524881819263,402.49810457229614,-7.373291015625,0.00028199295047670603
5,397.4818983078003,-3.3366665840148926,0.0016254198271781206,396.982579767704,-15.965507507324219,0.001006765989586711,397.32128620147705,-8.962752342224121,0.00037958030588924885,402.49810457229614,-7.373291015625,0.0006599632906727493
6,398.20175862312317,-3.295041084289551,0.0038972231559455395,396.982579767704,-11.810149192810059,0.0016645976575091481,397.32128620147705,-8.962752342224121,0.0013442840427160263,403.4375948905945,-4.968537330627441,0.0012211411958560348
7,398.8707456588745,-3.295041084289551,0.0069129327312111855,396.982579767704,-11.810149192810059,0.0014636821579188108,397.32128620147705,-8.962752342224121,0.0015129996463656425,403.86009311676025,-4.968537330627441,0.0013768458738923073
8,398.8707456588745,-3.3366665840148926,0.004319379571825266,396.982579767704,-11.467870712280273,0.0012225949903950095,397.33249139785767,-9.28026294708252,0.000814103230368346,403.86009311676025,-1.1693477630615234,0.0007759867585264146
9,398.20175862312317,-3.711381435394287,0.001687094452790916,396.8699261546135,-11.467870712280273,0.0006182200741022825,396.21208606660366,-9.409443855285645,0.0003008758358191699,403.86009311676025,-1.1693477630615234,0.00031637807842344046
10,398.8707456588745,-4.02667236328125,0.0009340157266706228,396.8699261546135,-11.467870712280273,0.0010992749594151974,396.21208606660366,-11.699490547180176,0.0002984343736898154,415.71580505371094,-6.872194290161133,0.0006169404950924218
11,400.27844047546387,-4.02667236328125,0.0009296763455495238,411.00030386447906,-11.3228178024292,0.0004093752650078386,397.33249139785767,-11.699490547180176,0.00013377862342167646,416.6965169906616,-6.872194290161133,0.00028205339913256466
12,411.0867523550987,-4.02667236328125,0.002155922818928957,413.1055634021759,-11.236014366149902,0.0007769043440930545,404.22279995679855,-9.28026294708252,0.0004036131431348622,418.65481519699097,-3.863544464111328,0.0005969179328531027
13,415.0084114074707,-3.842000961303711,0.005568171385675669,413.1055634021759,-11.3228178024292,0.001824912615120411,412.0547299683094,-10.098788261413574,0.001159858307801187,418.65481519699097,-7.260381698608398,0.0012028304627165198
14,416.6334629058838,-2.2711739540100098,0.005927010904997587,414.9447000026703,-11.236014366149902,0.0025713839568197727,413.5114600658417,-7.350955009460449,0.0015067654894664884,421.2609930038452,-4.1122283935546875,0.001285912236198783
15,428.15892803668976,-2.2711739540100098,0.0012147924862802029,427.1280755996704,-11.236014366149902,0.0007457584724761546,416.0572919845581,-7.155773162841797,0.00031101054628379643,432.9777617454529,-4.1122283935546875,0.0004267589538358152
16,428.15892803668976,-1.5918827056884766,0.007893437519669533,427.1280755996704,-11.595697402954102,0.004560265690088272,416.0572919845581,-6.8365325927734375,0.0020565229933708906,434.08378553390503,-4.5021772384643555,0.0022659364622086287
17,428.15892803668976,-1.52687406539917,0.0045411172322928905,427.1280755996704,-12.045148849487305,0.001657894579693675,416.0572919845581,-7.155773162841797,0.0010523791424930096,434.08378553390503,-4.762682914733887,0.001122663146816194
18,428.15892803668976,-1.1741647720336914,0.004489565268158913,427.1280755996704,-11.595697402954102,0.0018420577980577946,416.0572919845581,-6.822834014892578,0.0012904820032417774,434.25522327423096,-4.5021772384643555,0.0012960148742422462
19,428.15892803668976,-1.1741647720336914,0.0031469680834561586,427.1280755996704,-11.595697402954102,0.0013719811104238033,416.0572919845581,-6.822834014892578,0.0012139503378421068,434.61139154434204,-4.5021772384643555,0.0009199107880704105
20,431.24293279647827,-1.1741647720336914,0.01037849485874176,428.7668700814247,-9.89405345916748,0.0056504616513848305,426.43741178512573,-6.425881385803223,0.00361227011308074,435.8479471206665,-3.888824939727783,0.001959034241735935
21,434.30620861053467,-1.1741647720336914,0.021666064858436584,431.4228277206421,-9.422581672668457,0.007555324584245682,430.18520975112915,-6.425881385803223,0.009075894020497799,436.9522581100464,-0.9465765953063965,0.004267334938049316
22,444.5546081662178,-1.9059829711914062,0.008290429599583149,443.137488424778,-8.103046417236328,0.0017592123476788402,435.4323284626007,-6.15242862701416,0.0014352930011227727,450.60473012924194,-0.822662353515625,0.0018188287504017353
23,444.8240523338318,-2.6900854110717773,0.014424731954932213,443.170103430748,-6.746992111206055,0.002409112174063921,442.5049999952316,-6.425881385803223,0.002016176702454686,450.60473012924194,-0.822662353515625,0.002583124442026019
24,444.8876819014549,-3.502615451812744,0.025822093710303307,443.170103430748,-7.196739196777344,0.004889343865215778,443.34956216812134,-6.925387382507324,0.00482657365500927,450.60473012924194,-0.9465765953063965,0.004233581013977528
