scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1054.5628218650818,651.6329329609871,0.254416286945343,1053.2847714424133,656.4749586582184,0.3135018050670624,1048.6651463508606,651.9283363968134,0.2565716505050659,1061.6448665857315,652.2888748943806,0.209585502743721
1,1057.3893773555756,652.7068937420845,0.35441532731056213,1054.6463136672974,656.8753039836884,0.34276559948921204,1049.6009311676025,653.0375065803528,0.29261547327041626,1065.6230120658875,652.6326373815536,0.28266453742980957
2,1034.497240781784,660.4965474903584,0.2752772271633148,1034.1052864789963,661.2056194543839,0.3740197420120239,1053.8974719047546,500.2064805626869,0.20341844856739044,1043.535762488842,656.8213000297546,0.22209127247333527
3,1034.7794618606567,661.866551399231,0.26467055082321167,1034.5933810472488,662.5906918048859,0.3491624593734741,1028.2735854387283,658.6632055044174,0.21694813668727875,1041.2753129005432,664.2587971687317,0.2123516947031021
4,1043.020856320858,655.3285901546478,0.28787466883659363,1041.516347169876,665.5534586906433,0.3294166922569275,1033.6335463523865,659.8022269010544,0.26247549057006836,1090.6767966747284,510.9607677459717,0.2935192286968231
5,1044.0471651926637,655.0096004009247,0.27599698305130005,1042.944328069687,660.8627687096596,0.35376355051994324,1034.7034001350403,659.0848601460457,0.2737542986869812,1090.8120613098145,511.12896490097046,0.28385037183761597
6,1044.9058237075806,648.7769634723663,0.25244852900505066,1043.405252277851,653.4155058860779,0.43946826457977295,1059.059762954712,483.62460139393806,0.3619247078895569,1053.1022431850433,649.066780090332,0.24656431376934052
7,1042.9288531541824,650.4510563611984,0.29697367548942566,1041.3896577358246,654.4673829078674,0.4580245912075043,1059.282085597515,483.8578081578016,0.36170634627342224,1051.1923840641975,651.7407005131245,0.28413400053977966
8,1210.0204087495804,20.01866335608065,0.18077412247657776,996.9938091635704,648.2307348251343,0.389509916305542,1007.681510925293,482.7519420385361,0.40222787857055664,1072.3157241344452,482.1466897726059,0.19389592111110687
9,1066.7936457395554,332.3247183561325,0.18869824707508087,1000.1325068473816,645.1025232076645,0.47805970907211304,1011.3970820307732,467.6335960626602,0.36655378341674805,1049.4161260128021,580.537812769413,0.1848801225423813
10,1093.9750385284424,210.25470232963562,0.20381030440330505,993.6768264770508,646.8767137527466,0.43151339888572693,981.8820050954819,499.49164897203445,0.2752433121204376,1089.406490802765,405.2189016342163,0.26841163635253906
11,987.4563607573509,652.8955072760582,0.2528458833694458,986.6047519445419,659.0540263056755,0.4619854688644409,981.807049870491,499.16398853063583,0.2839731276035309,1089.9660942554474,404.1948911845684,0.2885778844356537
12,1006.7607696056366,428.75148433446884,0.18211711943149567,999.7364196777344,642.916726231575,0.2552036941051483,998.672197341919,437.284055352211,0.2955242693424225,1110.3783638477325,385.42493867874146,0.2515769600868225
13,1104.7446818351746,213.28425669670105,0.20116397738456726,999.6993093490601,653.0148251056671,0.25672268867492676,997.7612549066544,436.92824697494507,0.304659366607666,1110.0889465808868,385.9773533344269,0.23191805183887482
14,1002.5304133892059,633.2856667041779,0.24339516460895538,1001.9930469989777,642.7796671390533,0.28188830614089966,994.9960132837296,634.3189904689789,0.33035048842430115,1010.7407032251358,635.9245283156633,0.3085937201976776
15,1002.5577907562256,632.7677822113037,0.2321939617395401,1002.1097023487091,642.050865650177,0.2730395495891571,995.1383680105209,633.731805562973,0.28859245777130127,1010.8205732107162,635.6969110369682,0.2719605565071106
16,991.7063229084015,633.3306403160095,0.14676496386528015,991.1591544151306,634.420933008194,0.2181784063577652,985.6226778030396,633.5626182556152,0.17048902809619904,1093.8331940174103,402.5129600763321,0.2207760363817215
17,1095.4426889419556,179.63942936062813,0.13194064795970917,1093.374876499176,188.4010755419731,0.16750404238700867,982.1380710601807,442.8868178129196,0.24120287597179413,1093.6261430978775,403.13367837667465,0.27015170454978943
18,1091.756184399128,173.2178374528885,0.24908281862735748,982.6259181499481,628.6792287826538,0.2912464141845703,978.4680860042572,449.4634835720062,0.23871737718582153,1099.188758611679,175.95989894866943,0.2458024024963379
19,1091.3153746128082,172.91201221942902,0.2665749788284302,982.9080293178558,626.7982598543167,0.3089601695537567,980.6619446277618,435.7204013466835,0.27463191747665405,1098.8193814754486,175.7091348171234,0.22903084754943848
20,1088.1684522628784,172.92063158750534,0.2427649050951004,1087.5991742610931,176.7923743724823,0.2776496112346649,981.5935273170471,434.69452238082886,0.37178418040275574,1063.077380180359,417.76282787323,0.2051631659269333
21,1086.6020922660828,172.85148483514786,0.2688874900341034,1086.0780737400055,176.3098487854004,0.28692853450775146,982.0843060016632,435.4322338104248,0.29705336689949036,1090.6388788223267,174.51013493537903,0.19665181636810303
22,1081.864565372467,161.95360708236694,0.44099515676498413,976.255245923996,629.1782169342041,0.314416766166687,981.027400970459,437.39622390270233,0.28051093220710754,986.232924580574,623.1328711509705,0.23027950525283813
23,1081.6544530391693,162.07536375522614,0.44335195422172546,976.5753989219666,630.0452287197113,0.2734118103981018,993.2502708435059,346.7864111661911,0.27312853932380676,986.4295036792755,624.0956964492798,0.21012327075004578
24,1086.7625703811646,164.61447048187256,0.3447008728981018,1084.760441660881,176.49028515815735,0.27599048614501953,1080.5664806365967,164.84755033254623,0.28473758697509766,982.5340304374695,622.9929809570312,0.2555006444454193
25,1085.920126914978,164.53299510478973,0.3456932604312897,1084.2961181402206,175.5824680328369,0.22551663219928741,1076.8574568629265,169.07634043693542,0.26614025235176086,986.5383358001709,619.817356556654,0.23932185769081116
26,1085.993613600731,149.58113634586334,0.358483225107193,1084.1866108775139,162.00187528133392,0.3292219638824463,1033.6711223125458,267.411074757576,0.26721522212028503,1094.0466809272766,160.03418111801147,0.2083354890346527
